food,Dietary Fiber,Cholesterol
waxgourd cooked,1.8,0
jackfruit,0.5,0
loquats,0.3,0
mammy apple mamey,25.4,0
nance,8.4,0
coconut whole coconut,0,0
prickly pear,3.7,0
lychee,0.1,0
naranjilla lulo pulp,1.3,0
coconut meat dried,4.6,0
waxgourd raw,3.8,0
surinam cherry pitanga,0,0
passion fruit,1.9,0
sapodilla,9,0
pummelo,1.3,0
coconut meat,35.7,0
soursop,7.4,0
papaya,2.5,0
acerola cherry,0.077,0
ohelo berries,0,0
loganberries,7.8,0
casaba melon,1.5,0
durian,1.3,0
coriander leaves raw,0.4,0
garden cress raw,0.063,0
pasilla peppers dried,1.9,0
parsley dried,0.1,0
ancho pepper dried,3.7,0
coriander seeds,0.8,0
dill weed dried,13.6,0
borage,0,0
epazote,0.051,0
chives dried,0.041,0
thyme fresh,0.1,0
butterbur,0,0
wasabi root,10.1,0
rosemary dried,0.5,0
ginger root,0.058,0
white pepper,0.6,0
cloves ground,0.7,0
paprika,2.4,0
mace ground,1.1,0
bay leaf,0.2,0
eppaw,0,0
tarragon dried,0.038,0
ginger ground,0.3,0
savory ground,0.6,0
black pepper,0.6,0
spearmint fresh,0.4,0
poultry seasoning,0.5,0
nutmeg ground,0.5,0
curry powder,2.1,0
peppermint,0.1,0
salt,0,0
coriander leaves dried,0.095,0
sage ground,0.3,0
garlic powder,0.3,0
dill weed fresh,0.2,0
cardamom,0.6,0
saffron,0.002,0
allspice ground,0.4,0
parsley fresh,0.1,0
oregano dried,42.5,0
marjoram dried,0.7,0
chives raw,0.044,0
fireweed leaves,2.4,0
rosemary fresh,0.012,0
garlic,0.064,0
cinnamon ground,1.4,0
chervil dried,0.2,0
cayenne pepper,0.052,0
turmeric ground,0.5,0
mustard,0.2,0
chili powder,0.9,0
thyme dried,37,0
spearmint dried,0.1,0
basil dried,0.3,0
dandelion greens cooked,3,0
basil fresh,0.1,0
dock,3.9,0
garden cress cooked,0.9,0
onion powder,0.4,0
dandelion greens raw,1.9,0
yokan,0,0
fava beans cooked,9.2,0
french beans raw,46.4,0
chickpeas canned,0,0
yellow beans cooked,18.4,0
mung beans cooked,15.4,0
white beans canned,12.6,0
pink beans cooked,9,0
pink beans raw,26.7,0
navy beans raw,50.8,0
snap beans cooked,4,0
black eyed cowpeas raw,7.3,0
edamame cooked,8.1,0
black eyed cowpeas cooked,8.3,0
hyacinth beans cooked,0,0
cowpeas canned,7.9,0
pinto beans cooked,15.4,0
winged beans cooked,0,0
pinto beans raw,29.9,0
black turtle beans raw,28.5,0
fava beans raw,37.5,0
lima beans canned,11.6,0
hyacinth beans raw,53.8,0
white beans raw,30.7,0
snap beans canned,6.6,0
navy beans canned,13.4,0
mung beans raw,33.7,0
adzuki beans raw,25,0
black turtle beans cooked,15.4,0
pink lentils raw,20.7,0
yellow beans raw,49.2,0
white beans cooked,11.3,0
lentils raw,58.6,0
cranberry beans cooked,17.7,0
chickpeas raw,34.8,0
lentils cooked,15.6,0
baked beans canned,10.4,0
cranberry beans canned,16.4,0
black beans cooked,15,0
lima beans cooked,13.2,0
mungo beans raw,37.9,0
pigeon peas raw,30.8,0
fava beans canned,9.5,0
yellow snap beans raw,3.4,0
snap beans raw,2.7,0
yellow snap beans canned,3.6,0
pigeon peas cooked,11.3,0
catjang cowpeas raw,17.9,0
navy beans cooked,19.1,0
mothbeans raw,0,0
cowpeas cooked,4.6,0
mothbeans cooked,0,0
french beans cooked,16.6,0
lima beans raw,33.8,0
winged beans raw,47.1,0
adzuki beans cooked,16.8,0
black beans raw,30.1,0
catjang cowpeas cooked,6.2,0
baby lima beans cooked,10.8,0
cowpeas raw,3.1,0
shellie beans canned,8.3,0
yardlong beans raw,18.4,0
pinto beans canned,11,0
chickpeas cooked,12.5,0
cranberry beans raw,48.2,0
mungo beans cooked,11.5,0
tamarinds,0.1,0
yellow snap beans cooked,4.1,0
yardlong beans cooked,6.5,0
bacon beef steak,0,28.9
lamb foreshank raw,0,326.6
bacon,0,0
lamb rib cooked,0,247.4
lamb shank raw,0,303.9
scrapple,0.052,13.9
chicken nuggets,0.2,8.6
ground lamb cooked,0,303.6
lamb meat cooked,0,240
meat extender,15.4,0
lamb leg raw,0,313
lamb loin cooked,0,64
chicken patty,0.2,25.8
lamb shank roasted,0,242.1
barbecue loaf,0,8.5
lamb sirloin cooked,0,254.1
poultry salad,0,3.9
ground lamb raw,0,20.7
lamb loin raw,0,20.9
lamb sirloin raw,0,326.6
sausage patty mcdonalds,0,20.9
lamb foreshank cooked,0,156.9
ham salad,0,16.7
lamb rib raw,0,344.7
lamb shoulder raw,0,326.6
lamb meat raw,0,317.5
lamb shoulder cooked,0,252.9
mutton cooked,0,30.8
lamb leg cooked,0,246.5
beef stick,0,26.6
veal sirloin cooked,0,221.4
veal rib cooked,0,246
veal meat cooked,0,238.3
beef rib roasted,0,57
veal sirloin raw,0,353.8
beef top loin filet grilled,0,116.1
beef under blade steak cooked,0,480.4
mock tender steak raw,0,132.7
ground beef cooked,0,122.3
ground beef raw,0,353.8
beef diced asda,0,0
veal rib raw,0,372
ground veal raw,0,23.2
t bone steak cooked,0,301.3
veal leg round raw,0,353.8
beef top sirloin steak raw,0,456
beef plate steak grilled,0,177.5
ground veal cooked,0,308
veal leg round cooked,0,364.5
porterhouse steak raw,0,308.4
veal shank raw,0,340.2
veal breast cooked,0,319.8
corned beef canned,0,18.1
rib eye steak grilled,0,195.8
veal shoulder raw,0,0
t bone steak raw,0,281.2
sirloin steak,0,144.4
mock tender steak cooked,0,55.3
beef round steak cooked,0,174.3
chuck blade roast raw,0,322.1
beef shoulder steak raw,0,164.9
beef top blade cooked,0,51.9
corned beef cooked,0,20.6
beef round steak raw,0,313
beef shoulder steak grilled,0,68.9
chuck eye steak raw,0,261.1
beef bottom round steak cooked,0,426.4
porterhouse steak cooked,0,57
beef under blade steak raw,0,431
beef plate steak raw,0,188.9
beef meat canned,0,34.7
beef breakfast strips raw,0,18.5
beef brisket cooked,0,165.5
corned beef raw,0,244.9
beef mince meat asda,0,0
pastrami beef fat free,0,4.5
rib eye steak raw,0,221.7
beef tenderloin steak cooked,0,135.8
chuck blade roast cooked,0,256.9
cured beef dried,0,2.2
beef flank steak cooked,0,152.3
chuck eye steak grilled,0,268
veal meat raw,0,372
veal loin cooked,0,33.4
veal loin raw,0,22.4
veal shoulder cooked,0,240.7
beef tenderloin steak raw,0,139.4
veal shank cooked,0,240.6
beef brisket raw,0,308.4
pastrami beef,0,48.3
beef flank steak raw,0,19.2
beef top sirloin steak cooked,0,162.8
veal breast raw,0,322.1
beef rib raw,0,322.1
beef jerky,0.4,9.6
beef breakfast strips cooked,0,13.4
pork olive loaf,0,10.6
beef luncheon meat jellied,0,9.5
turkey pastrami,0.062,19.4
pork salami,0,7.9
canadian style bacon raw,0,14.3
honey loaf,0,26.2
pork beef salami,0,10.6
beef pork bologna,0,18
pork beef salami cooked,0,10.9
pork breakfast strips raw,0,15.6
pickle pimiento loaf,0.6,22
luxury loaf,0,10.1
mortadella,0,8.4
pork bologna,0,16.5
turkey salami cooked,0.054,3.8
pepperoni beef,0,2.1
peppered loaf,0,13.1
luncheon meat beef,0,3.2
lebanon bologna,0,31.4
chicken pork bologna,0,24.4
turkey roll,0,14.9
beef salami cooked,0,18.5
yachtwurst cooked,0,35.8
italian salami,0,8
turkey ham,0,18.8
turkey bologna,0.1,21
sliced turkey breast,0,7.8
luncheon meat pork beef,0,15.4
beef bologna,0,17.1
turkey bacon cooked,0,80.4
ground emu cooked,0,94.8
ostrich leg raw,0,56.1
ostrich strip raw,0,62.1
emu fillet cooked,0,323.1
ostrich tenderloin raw,0,68
emu drums cooked,0,378.6
green turtle raw,0,14.2
ground bison cooked,0,177.5
goat meat raw,0,258.6
ground emu raw,0,80.7
ground ostrich raw,0,77.4
ostrich tip cooked,0,72.3
caribou cooked,0,141.2
ground ostrich cooked,0,77.2
ostrich leg cooked,0,62.1
ostrich top loin cooked,0,79.1
ostrich strip cooked,0,82.5
ostrich tip raw,0,61.2
ostrich round raw,0,60.4
ground bison raw,0,46.8
ostrich fan raw,0,62.1
ostrich top loin raw,0,63.8
veal brain cooked,0,10509
veal tongue cooked,0,606.9
beef heart cooked,0,60
turkey liver cooked,0,343.4
veal thymus cooked,0,99.1
beef brain cooked,0,7002.5
beef pancreas cooked,0,581.6
beef tripe cooked,0,133.5
chicken gizzard cooked,0,536.5
pork pancreas cooked,0,771.8
beef tongue cooked,0,37.4
lamb heart cooked,0,475.6
beef spleen cooked,0,1068.8
veal kidneys cooked,0,1455.4
chicken heart cooked,0,350.9
lamb tongue cooked,0,482
veal heart cooked,0,348.5
chicken liver cooked,0,248.2
lamb pancreas cooked,0,924
veal spleen cooked,0,1542.2
lamb liver cooked,0,1683.4
turkey gizzard cooked,0,203.4
lamp spleen cooked,0,1135.8
turkey heart cooked,0,71.8
beef liver cooked,0,269.3
lamb lungs cooked,0,1082
pork brain cooked,0,9748.6
goose liver,0,484.1
pork kidneys cooked,0,672
lamb brain cooked,0,7089.2
pork heart cooked,0,320.5
lamb kidneys cooked,0,1440.8
beef lungs cooked,0,839.3
veal pancreas cooked,0,0
pork liver cooked,0,1256.7
beef kidneys cooked,0,202.6
turkey giblets cooked,0,495
duck liver raw,0,226.6
veal liver cooked,0,408.8
pork lungs cooked,0,1161
veal lungs cooked,0,789
beef thymus cooked,0,1120.1
ham,0.4,16
pork meat cooked,0,112.6
bacon roasted,0,8.8
pork top loin roasts raw,0,1404.8
pork blade roll raw,0,15
pork backribs raw,0,739
pork spareribs cooked,0,214.2
pork stomach cooked,0,89.4
honey smoked ham cooked,0,12.1
boston butt steak raw,0,281.2
pork sirloin chops cooked,0,65.6
pork country style ribs raw,0,94.7
ham patties,0,45.5
pork feet cooked,0,30.3
ground pork cooked,0,294.2
pork centre loin chops cooked,0,131.9
pork leg cap steak cooked,0,157.1
pork blade chops raw,0,155.2
pork tenderloin raw,0,328.3
pork sirloin chops raw,0,567.6
pork leg cap steak raw,0,145.5
pork carcass raw,0,335.7
pork splean cooked,0,1507
chopped ham,0,16.5
pork centre loin chops raw,0,137.3
pork blade chops cooked,0,100.9
boston butt steak cooked,0,181.3
pork meat raw,0,20.4
pork top loin chops raw,0,124
pork blade steak braised,0,256.1
pork boston steaks cooked,0,160.6
bacon cooked,0,10.1
pickled pork hocks,0,25.2
pork boston roast cooked,0,225.3
canadian style bacon grilled,0,13.6
ham steak,0,25.7
pork backfat,0,258.6
bacon baked,0,8.7
pork arm picnic raw,0,1729.4
salt pork raw,0,24.3
pork arm picnic cooked,0,1936.7
pork top loin chops cooked,0,97.2
ground pork raw,0,90
pork shoulder raw,0,322.1
pork chitterlings cooked,0,78.4
pork breakfast strips cooked,0,11.9
pork blade roll roasted,0,251.9
pork tail cooked,0,354.8
pork centre rib roasts raw,0,113.1
pork centre rib roasts roasted,0,610.7
minced ham,0,14.7
ham roasted,0,86.8
pork loin raw,0,73.7
pork backribs roasted,0,737.5
pork belly raw,0,326.6
ham raw,0,54.6
ham extra lean,0,14.8
pork feet pickled,0,376.5
pork shoulder cooked,0,121.5
pork top loin roasts roasted,0,678.4
pork skin,0,26.9
pork country style ribs cooked,0,88.6
pork blade steak raw,0,243.7
pork tenderloin cooked,0,71.4
pork loin cooked,0,71.2
pork ears cooked,0,99.9
pork tongue cooked,0,337.3
pork spareribs raw,0,1037.6
ham patties grilled,0,43.2
chicken skin roasted,0,93
turkey breast raw,0,1471.6
ground turkey raw,0,78.7
chicken wing cooked,0,14.7
turkey roast roasted,0,71.6
pheasant meat raw,0,568
chicken back raw,0,46.6
chicken back cooked,0,28.1
chicken leg fried,0.5,142.2
chicken feet cooked,0,381
turkey steak fried,0,41
turkey taco meat cooked,0,129.9
chicken leg raw,0,319.9
chicken meat raw,0,690
chicken neck cooked,0,26.6
chicken drumstick fried,0.2,61.9
quail egg,0,76
duck meat cooked,0,117.6
chicken wing roasted,0,119.9
quail meat cooked,0,389.6
goose meat cooked,0,127.4
chicken breast cooked,0,48.7
chicken neck raw,0,49.5
duck egg,0,618.8
pheasant breast raw,0,211.1
duck meat raw,0,963.7
squab meat raw,0,189.1
chicken drumstick raw,0,122.4
turkey meat roasted,0,163.5
chicken breast raw,0,111.4
ground chicken cooked,0,268.6
turkey wing cooked,0,150.7
goose meat raw,0,1310.4
turkey breast roasted,0,1278.7
chicken fajita strips,0,8.3
crispy chicken strips tyson,0,0
chocolate pudding fat free,0.3,1.1
tapioca pudding,0,1.1
tapioca pudding fat free,0,1.1
rice pudding,0.3,13.6
corn pudding,3,180
chocolate pudding,0,1.5
lemon pudding,0,16.5
vanilla pudding,0,1.5
profeel proteiinirahka valio,0,0
cottage cheese creamed,0,3.4
zaziki milfina,0,0
cottage cheese low fat,0,9
cottage cheese nonfat,0,10.2
vanilla yogurt low fat,0,12.3
classique yogurt plain 2 liberte,0,0.017
yoplait light strawberry yogurt yoplait,0,0
vanilla yogurt,0,8.5
chocolate yogurt,1.8,1.5
yogurt parfait,1.6,4.5
yogurt,0,19.5
chocolate frozen yogurt,4,22.6
frozen yogurt,0,22.6
yogurt low fat,0,14.7
vanilla yoghurt oikos,0,0
fruit yogurt,0,7.5
danone low fat alsafi,0,0
fruit n yogurt parfait mcdonalds,1.5,7.5
triple zero greek yogurt dannon oikos,0,0
greek yogurt,0,8.5
chocolate rasberry protein mini proteinfx,0,0
gushers fruit gushers,0,0
egg fried,0,184.5
glucerna abbott,12.8,0
sports drink,0,0
peanut butter cookie protein syntha 6,0,0
hanfprotein pulver rohkostqualitat veganz,0,0
smoothie high protein creamy chocolate slimfast,0,5
egg large,0,0
boysenberries frozen,7,0
malt beverage,0,0
chocolate powder for milk,1,0
vegetable fruit juice,0,0
cocoa powder unsweetened,1.8,0
coconut milk,0.3,0
cocoa powder,0.3,0
rice drink,0.7,0
coconut water,2.6,0
caramel med iced coffee dunkin donuts,0,0
instant coffee with water decaffeinated,0,0
instant coffee powder,0,0
instant coffee powder decaffeinated,0,0
instant cappuccino powder,0.2,0.3
coffee decaffeinated,0,0
espresso decaffeinated,0,0
instant coffee with water,0,0
coffee,0,0
espresso,0,0
whey protein powder vanilla eas,0,0
energy drink sugar free red bull,0,0
powerade coca cola,0,0
amp energy pepsi,0,0
gatorade g2 pepsi,0,0
amp energy sugar free pepsi,0,0
energy drink red bull,0,0
powerade zero ion4 coca cola,0,0
full throttle coca cola,0,0
passion fruit juice purple,0.5,0
pomegranate juice,0.2,0
cranberry apricot juice,0.2,0
pineapple juice,0.5,0
passion fruit juice yellow,0.5,0
orange apricot juice,0.3,0
tangerine juice,0.5,0
orange juice,0.4,0
grapefruit juice,0,0
pineapple grapefruit juice,0.3,0
tamarind nectar,1.3,0
apple juice,0.5,0
limeade,0,0
guava nectar,2.5,0
orange grapefruit juice,0.2,0
orange juice sainsburys,0,0
cranberry apple juice,0,0
pineapple orange juice,0.3,0
pear nectar,1.5,0
blackberry juice,0.3,0
lemon juice,0.7,0
cranberry grape juice,0.2,0
citrus fruit juice,0.2,0
prune juice,2.6,0
guanabana nectar,0.3,0
fruit juice,0.2,0
horchata,0,0
fruit punch,0,0
apricot nectar,1.5,0
orangensaft ja,0,0
fruchtcocktail granini,0,0
peach nectar,0.2,0
orange pineapple juice,0.032,0
cranberry juice,0.2,0
white grapefruit juice,0.2,0
mango nectar,0.8,0
acerola cherry juice,0.7,0
apple juice concentrate,0.8,0
papaya nectar,1.5,0
apple juice martinellis,0,0
lime juice,1,0
grape juice,0.5,0
water dannon,0,0
tap water,0,0
table water,0,0
fruit flavored water,0,0
water,0,0
cola light coca cola,0,0
lemon lime soda,0,0
tonic water,0,0
lemonade low calorie,0,0
ginger ale,0,0
ice tea lemon flavor nestle,0,0
sprite coca cola,0,0
cola coca cola,0,0
cola,0,0
cream soda,0,0
club soda,0,0
pink lemonade,0.2,0
grape soda,0,0
cola without caffeine coca cola,0,0
white lemonade,0,0
chocolate soda,0,0
sweet tea lipton,0,0
hibiscus tea,0.6,0
instant lemon tea,0,0
pesca tea santal,0,0
instant lemon tea sweetened,0.3,0
tea with milk and sugar yorkshire,0,0
tea blueberry muffin tekanne,0,0
chamomile tea,0,0
black tea,0,0
herb tea,0,0
clam tomato juice,0.7,0
tomato juice,1,0
vegetable juice,1.9,0
tomato vegetable juice,1.9,0
carrot juice,1.6,0
acorn dried,0,0
fenugreek seeds,2.7,0
peanut topping mcdonalds,0,0
beechnuts dried,0,0
breadnut tree seeds raw,0,0
cumin seeds,0.2,0
pili nuts dried,0,0
hazelnuts roasted,2.8,0
lupins cooked,4.6,0
hazelnuts blanched,3.1,0
brazilnuts dried,0.4,0
sunflower seeds dry roasted,0.9,0
ginkgo nuts canned,14.4,0
peanuts cooked,15.8,0
pumpkin squash seeds dried,7.7,0
cashew nuts raw,0.9,0
sunflower seeds dried,4,0
lotus seeds dried,0,0
butternuts dried,5.6,0
sesame seeds dried,1.1,0
breadfruit seeds,1.6,0
pinyon pine nuts dried,0.005,0
pine nuts dried,5,0
flaxseeds,2.8,0
safflower seed kernels dried,0,0
pistachio nuts raw,12.7,0
peanuts raw,12.4,0
poppy seeds,1.7,0
valencia peanuts raw,12.7,0
spanish peanuts,13.9,0
dill seeds,1.4,0
caraway seeds,2.5,0
acorn raw,0,0
almonds roasted,3.2,0
lotus seeds raw,0,0
chestnuts cooked,0,0
alfalfa seeds,0.015,0
virginia peanuts roasted,2.7,0
hazelnuts raw,7.3,0
anise seeds,0.3,0
macadamia nuts roasted,2.4,0
studentenfutter alnatura,0.031,1.7
pumpkin squash seeds roasted,0.5,0
water chestnut raw,3.7,0
chestnuts roasted,0.8,0
ginkgo nuts raw,0,0
almonds raw,0.2,0
peanuts roasted,2.8,0
sunflower seeds toasted,15.4,0
sisymbrium seeds,0,0
breadnut tree seeds dried,23.8,0
pecans raw,10.5,0
chia seeds dried,9.7,0
japanese chestnuts roasted,0,0
sesame seeds toasted,1.1,0
cashew nuts roasted,1,0
lupins raw,34,0
mustard seeds ground,0.2,0
mixed nuts roasted,2.7,0
salat mix alestro,0,0
chestnuts raw,11.7,0
pistachio nuts roasted,3.1,0
walnut,0.3,0
celery seeds,0.8,0
hickorynuts dried,7.7,0
spanish peanuts roasted,13.1,0
woca seeds dried,5.4,0
pecans roasted,2.9,0
fennel seeds,0.8,0
chinese chestnuts roasted,0,0
watermelon seed kernels dried,0,0
macadamia nuts raw,0.5,0
pectin,4.3,0
black walnut dried,0.3,0
water chestnut canned,3.5,0
ginkgo nuts dried,0,0
virginia peanuts raw,12.4,0
valencia peanuts roasted,2.7,0
nesfit diet cereal nestle,0,0
corn grits cooked,2.1,0
amaranth flakes,3.6,0
granola,5.3,0
muesli with fruit nuts,5.8,0
muesli master crumble,0,0
bran flakes,7.3,0
nut cereal,3.6,0
corn flakes,0.8,0
corn grits dry,0.4,0
margarine with yoghurt,0,0
sunflower seed butter,0.9,0
hazelnut oil,0,0
menhaden fish oil,0,1135.8
cod liver fish oil,0,77.5
sardine oil,0,96.6
cupu assu oil,0,0
lard,0,12.2
sesame butter,0.9,0
margarine spread,0,0.1
lard vegetable oil,0,7.2
shortening,0,0
vegetable oil spread,0,0.1
cottonseed oil,0,0
vegetable oil spread fat free,0,0.2
soy margarine,0,0
margarine with salt,0,0
margarine,0,0
salmon fish oil,0,66
nutmeg butter oil,0,0
almond butter,1.6,0
sour cream shoprite,0,0
ucuhuba butter oil,0,0
chicken fat,0,10.9
herring fish oil,0,104.2
bacon grease,0,4.1
turkey fat,0,5.1
beef tallow,0,14
goose fat,0,5
duck fat,0,5
mutton tallow,0,5.1
grapeseed oil,0,0
sheanut oil,0,0
almond oil,0,0
sunflower oil,0,0
cashew butter,0.3,0
canola oil,0,0
babassu oil,0,0
teaseed oil,0,0
avocado oil,0,0
vegetable palm kernel oil,0,0
coconut oil,0,0
safflower oil,0,0
vegetable oil,0,0
apricot kernel oil,0,0
peanut oil,0,0
poppyseed oil,0,0
flaxseed oil,0,0
tomatoseed oil,0,0
wheat germ oil,0,0
sesame oil,0,0
corn granola oil,0,0
cocoa butter oil,0,0
olive oil,0,0
palm kernel oil,0,0
mustard oil,0,0
rice bran oil,0,0
vegetable macaroni dry,3.6,0
chow mein noodles,1.5,0
chinese noodles,0.7,0
vegetable macaroni cooked,5.8,0
corn pasta dry,11.6,0
egg noodles dry,1.3,31.9
whole wheat spaghetti dry,0,0
japanese soba noodles dry,0,0
rice noodles dry,0.5,0
spinach spaghetti dry,3,0
egg noodles cooked,1,23.2
japanese somen noodles cooked,0,0
whole wheat macaroni dry,8.7,0
pasta marinara and ground beef sauce,0.5,0.2
macaroni raw,3.4,0
spaghetti dry,0.9,0
fusilli cucina,0,0
japanese somen noodles dry,1.2,0
pasta cooked,0,75.9
macaroni cooked,2.5,0
spinach egg noodles dry,2.6,36.1
japanese soba noodles cooked,0,0
rice noodles cooked,1.8,0
whole wheat macaroni cooked,3.9,0
spaghetti cooked,4.1,0
whole wheat spaghetti cooked,6.3,0
waffle,0,51.8
baked taco shell,0.9,0
puff pastry,3.7,0
blueberry muffin,0.6,17.1
bread crumbs,4.9,0
warm cinnamon roll mcdonalds,0.5,16.4
corn muffin,2.2,17.2
tortilla,4.7,0
croutons seasoned,2,2.8
buttermilk waffle,0.9,4.3
flour tortilla,1.2,0
glazed donut,0.3,3.9
corn tortilla,1.5,0
muffin,1.5,22.2
croutons,0.4,0
donut with jelly filling,0.8,22.1
sweet cinnamon rolls,2,54.8
oat bran muffin,0.8,0
french cruller donut,0.5,4.5
pancakes,0,22.4
chocolate donut,1.3,34.2
sweet cheese rolls,0.8,50.2
eclair,0.4,121.5
donut with cream filling,0.7,20.4
fruit toaster pastry,0.5,0
donut,0.7,14.4
pancakes whole wheat,1.2,26.8
keikitos,0.5,0
zwieback,0.2,0.6
chocolate coated donut,0.3,3.4
waffle toasted,0.8,5
cinnamon toaster pastry,0.5,0
wheat bran bread,1.4,0
white bread,0.8,0
oat bran bread,1.4,0
whole wheat bread natures own,0,0
high protein bread dr zaks,0,0
wheat bread,1.2,0
egg bread toasted,0.9,20.7
butter toastbrot ja,0,0
vienna bread toasted,0.9,0
vienna bread,0.8,0
protein bread,0.6,0
banana bread,0.6,24.5
rice bran bread,1.3,0
white fibre wonder bread,1.5,0.1
focaccia,1,0
oat bran bread toasted,1.3,0
rye bread,1.9,0
wheat germ bread,0.6,0
protein bread toasted,0.6,0
oatmeal bread,1.1,0
arepa,2.5,4.9
raisin bread toasted,1.4,0
cracked wheat bread,1.6,0
garlic bread,1.1,0
rye bread toasted,1.9,0
whole wheat bread,2.8,0
whole wheat bread toasted,2.8,0
pan dulce bread,1.4,18.9
rice bran bread toasted,1.3,0
pita bread whole wheat,2.1,0
wheat germ bread toasted,0.6,0.3
pumpernickel bread,1.7,0
frybread,0,10.6
white bread toasted,0.7,0.3
piki bread,2.6,0
wheat bread toasted,1.1,0
pita bread,1.3,0
potato bread,2,0
egg bread,0.9,20.4
oatmeal bread toasted,1.1,0
cheese bread,1,4.8
pumpernickel bread toasted,2.1,0
raisin bread,1.4,0
pumpernickel roll,1.5,0
cinnamon raisin bagel,0.6,0
english muffin,2.6,0
rye dinner roll,2.1,0
english muffin whole wheat,4.4,0
dinner roll whole wheat,2.1,0
dinner roll,1.1,0
hotdog roll,0.8,0
bagel,4,0
oat bran bagel,2.5,0
pain au chocolat de la boulangerie,0,0
egg bagel,0.6,6.2
english muffin toasted,1.5,0
english muffin whole wheat toasted,4.5,0
biscuit,1.5,3
french roll,1.2,0
oat bran dinner roll,1.4,0
pecan shortbread cookies,0.3,4.6
oatmeal cookies,0.7,0
chocolate wafers,3.8,2.2
vanilla wafers low fat,1.5,40.8
chocolate chip cookies mcdonalds,0.6,18.4
gingersnap cookies,0.2,0
biscotti abbracci mulino bianco,0,0
chocolate chip cookie,0.3,0
brownie,1.3,10.2
shortbread cookies,0.1,1.6
oatmeal cookies with raisins,0,5
peanut butter sandwich cookies,0.3,0
sugar cookies,0.1,7.7
chocolate covered graham crackers,0.4,0
raisin cookies,0.2,0.3
vanilla wafers,0.1,0
graham crackers,2.4,0
peanut butter cookies,0,6.2
vanilla sandwich cookie,0.2,0
sugar wafers with creme filling,0.2,0
cheese puffs,0.6,2.5
saltine crackers,0.022,0
trail mix,0,0
corn cones,0.3,0
chocolate pretzels,0,0
french toast sticks,0.3,0
crackers,0.4,0
sesame sticks,0.3,0
cheese crackers,0.2,0.2
oriental rice cracker mix,3.7,0
breadsticks,0.8,0
milk crackers,0.2,1.2
matzo crackers whole wheat,3.3,0
matzo crackers with egg,0.8,23.2
granola bites,0.3,0
crackers whole wheat,2.9,0
tropical trail mix,0,0
soft pretzels,2,3.5
corn tostada shell,0.7,0
matzo crackers,0.8,0
sesame crunch,0.1,0
trail mix with chocolate chips,0,5.8
cracker meal,3,0
puffed rice,0.6,0
filinchen gutena,0,0
melba toast crackers,1.9,0
matzo crackers with egg onion,1.4,12.6
cornnuts,2,0
bagel chips,7.2,0
pretzels,1,0
potato raw,4.7,0
gatto di patate home made,0,0
baked potato,3.8,0
potato sticks,1.2,0
potato cooked,1.2,0
vivaldi potatoes sainsburys,0,0
potato ham chowder soup,1.4,21.6
russet potato raw,4.8,0
russet potato baked,6.9,0
french fries,0.2,0
potato scalloped,4.7,29.4
cottage fries,0.2,0
mashed potatoes,3.1,0
mashed potato with milk and butter,3.2,23.1
red potato raw,3.6,0
potato pancake,0.7,20.9
potato puffs,3.2,0
red potato baked,1.5,0
potatoes canned,4.2,0
potato skin raw,1,0
shoestring french fries,0.099,0
hash brown potato,1.4,0
baked chips lays,0,0
corn chips,1.2,0
nacho cheese tortilla chips low fat,1.8,0.6
corn chips barbecue,10.3,0
corn chips unsalted,3.9,0
potato chips fat free,17,0
sweet chilli kettle baked chips,0,0
taro chips,0.2,0
potato chips reduced fat,10,0
onion snacks,1.2,0
potato chips cheese,8.8,6.8
yuca cassava chips,0.002,0
tortilla chips low fat,1.5,0
ranch flavor tortilla chips,7.9,0
potato chips,1.4,0
tortilla chips,1.6,0
sweet potato chips,2.5,0
nacho cheese tortilla chips,1.5,0
vegetable chips,1.3,0
taco flavor tortilla chips,12,11.4
potato chips barbecue,8.7,0
pita chips,1.1,0
potato chips sour cream and onion,10.3,13.9
adobo fresco,3.7,0
chili pepper sauce red,0.1,0
creamy ranch sauce mcdonalds,0,5.9
catsup,0.053,0
chili pepper sauce green,0.3,0
red wine vinegar,0,0
fish sauce,0,0
coleslaw dressing reduced fat,0.045,4.3
sour dressing,0,0.6
guava sauce cooked,8.6,0
pizza sauce,5,0
sweetn sour sauce mcdonalds,0,0
nance syrup,0.3,0
french dressing reduced fat,0.2,0
peppercorn dressing,0,6.6
sorghum syrup,0,0
ranch dressing fat free,0.088,1
caesar dressing low calorie,0.053,0.3
sweet sour dressing,0,0
mayonnaise imitation fat free,0.3,1.4
sofrito,3.5,0
turkey gravy instant,0.3,1.6
teriyaki sauce,0.016,0
tomato sauce,3.7,0
barbecue sauce kraft,0.032,0
cranberry sauce sweetened,2.8,0
coleslaw dressing,0.024,4.2
onion gravy dry,1.4,0.5
corn syrup light,0,0
bacon tomato dressing,0.04,0.6
pancake syrup,0,0
balsamic vinegar,0,0
ranch dressing reduced fat,0.2,2.4
barbecue sauce mcdonalds,0.4,0
vinegar oil dressing,0,0
poppyseed dressing,0.03,2.5
honey mustard dressing,0.057,4.4
french dressing fat free,0.4,0
vinegar,0,0
spray dressing,0.075,0
honey mustard dressing fat free,0.2,0.2
mushroom gravy,1,0
white sauce,0.5,17.5
marinara pasta sauce,4.8,5.3
tomato sauce with mushrooms,3.7,0
pork gravy powder,0.2,0.7
beef gravy,0.9,7
green goddess dressing,0.094,6
salsa con queso,1.8,22.5
